year,oscar,name,won,gross,gross per day,playdays,release date,
2009,BEST PICTURE,The Blind Side,0,255951749,1406328,182,2009-11-20 00:00:00,
2009,BEST PICTURE,District 9,0,115646235,1445577,80,2009-08-14 00:00:00,
2009,BEST PICTURE,An Education,0,,,,2009-10-09 00:00:00,
2009,BEST PICTURE,The Hurt Locker,1,12671105,86197,147,2009-06-26 00:00:00,
2009,BEST PICTURE,Inglourious Basterds,0,120540719,1012947,119,2009-08-21 00:00:00,
2009,BEST PICTURE,Precious: Based on the Novel 'Push' by Sapphire,0,,,,,
2009,BEST PICTURE,A Serious Man,0,9228768,94171,98,2009-10-02 00:00:00,
2009,BEST PICTURE,Up,0,290866563,2851632,102,2009-05-29 00:00:00,
2009,BEST PICTURE,Up in the Air,0,83823381,665264,126,2009-12-04 00:00:00,
2010,BEST PICTURE,Black Swan,0,106950757,727556,147,2010-12-03 00:00:00,
2010,BEST PICTURE,The Fighter,0,93617009,835866,112,2010-12-10 00:00:00,
2010,BEST PICTURE,Inception,0,292576195,1671863,175,2010-07-16 00:00:00,
2010,BEST PICTURE,The Kids Are All Right,0,20811365,198203,105,2010-07-09 00:00:00,
2010,BEST PICTURE,The King's Speech,1,135453143,1075024,126,2010-11-26 00:00:00,
2010,BEST PICTURE,127 Hours,0,18292814,130662,140,2010-11-05 00:00:00,
2010,BEST PICTURE,The Social Network,0,96962694,629627,154,2010-10-01 00:00:00,
2010,BEST PICTURE,Toy Story 3,0,410171027,4507373,91,2010-06-18 00:00:00,
2010,BEST PICTURE,1 Grit,0,171050328,1336330,128,2010-12-22 00:00:00,
2010,BEST PICTURE,Winter's Bone,0,6531503,20800,314,2010-06-11 00:00:00,
2011,BEST PICTURE,The Artist,1,44671682,212722,210,2011-11-25 00:00:00,
2011,BEST PICTURE,The Descendants,0,82584160,529385,156,2011-11-16 00:00:00,
2011,BEST PICTURE,Extremely Loud & Incredibly Close,0,31847881,331748,96,2011-12-25 00:00:00,
2011,BEST PICTURE,The Help,0,167094661,1942961,86,2011-08-10 00:00:00,
2011,BEST PICTURE,Hugo,0,73864507,520172,142,2011-11-23 00:00:00,
2011,BEST PICTURE,Midnight in Paris,0,50899487,519382,98,2011-05-20 00:00:00,
2011,BEST PICTURE,Moneyball,0,75605492,586089,129,2011-09-23 00:00:00,
2011,BEST PICTURE,The Tree of Life,0,13228329,104986,126,2011-05-27 00:00:00,
2011,BEST PICTURE,War Horse,0,79120998,1163544,68,2011-12-25 00:00:00,
