boxOfficeId;total_gross;gross_per_day
lifeofpi;124987023;506020
lincoln;181591780;1365351
littlechildren;1056474;34079
littlemisssunshine;59889703;249540
livesofothers;8321041;118872
loneranger;87054312;2352819
lonesurvivor;125095601;1169117
lostintranslation;43217012;263518
lovelybones;44028238;449267
maleficient;236412469;3070291
manwhowasntthere;97468977,59;849116,24
margincall;5354039;44991
mariafullofgrace;2605693;84054
marieantoinette;15962471;354721
marvel14b;255447104;4054715
marvel2014a;328095589;3905899
masterandcommander;93921256;536692
matchpoint;23151529;269203
memento;97468977,59;849116,24
memoirsofageisha;57010853;606498
messenger09;97468977,59;849116,24
michaelclayton;49033882;291868
midnightinparis;50899487;519382
milk;31841299;224234
milkofsorrow;97468977,59;849116,24
milliondollarbaby;100434592;567427
minorityreport;132024714;992667
missingpicture;97468977,59;849116,24
moneyball;75605492;586089
mongol;5705761;58222
monster;34445894;237557
monstersball;31168322;203714
monstersinc;250822376;2756289
moonrisekingdom;45512466;282686
motorcyclediaries;12733850;215827
mrshendersonpresents;11036366;63064
mrturner;97468977,59;849116,24
mulhollanddrive;7220243;33739
munich;47403685;483711
mybigfatgreekwedding;240840576;781949
mysticriver;90135191;393603
myweekwithmarilyn;14600347;108150
narnia;287482269;3733535
nebraska;17654912;140118
newworld;7834330;217620
nightcrawlers;32381148;330419
nine;19670243;234169
nocountryforoldmen;74223625;519046
nomansland;97468977,59;849116,24
norbit;95360247;1135241
northcountry;18337722;218306
notesonascandal;17493725;142225
nowhereinafrica;6178545;27957
obrotherwhereartthou;97468977,59;849116,24
omar;97468977,59;849116,24
outsidethelaw;97468977,59;849116,24
panslabyrinth;37634615;224015
paradisenow;1457843;9917
passionofthechrist;369895388;3591217
patriot;97468977,59;849116,24
pearlharbor;97468977,59;849116,24
perfectstorm;97468977,59;849116,24
phantomoftheopera;51234413;360805
philomena;37709979;207197
pianist;32198948;226753
piecesofapril;2376152;30859
piratesofthecaribbean;302977271;2367009
piratesofthecaribbean2;419866407;4998409
piratesofthecaribbean3;306483088;4864810
polarexpress;162775358;1345250
pollock;97468977,59;849116,24
poseidon;60674817;666756
prestige;51303155;1221503
prisoners;61002302;792237
prometheus;126477084;1204543
pursuitofhappyness;162586036;2227205
queen;55885355;321180
quietamerican;12538615;74634
quills;97468977,59;849116,24
rabbithole;2229058;19902
rachelgettingmarried;10758023;98697
ratatouille;201423520;2877478
ray;75331600;538082
reader;34194407;220609
realsteel;82717854;1759954
requiemforadream;97468977,59;849116,24
returnoftheking;377027325;2217807
revanche;97468977,59;849116,24
revolutionaryroad;22911480;233790
riseoftheapes;176711822;1328660
roadtoperdition;104117482;929620
royaltenenbaums;50331623;599185
savages;6515688;53848
seabiscuit;120170960;903541
seainside;97468977,59;849116,24
secretintheireyes;97468977,59;849116,24
selma;52076908;460857
seriousman;9228768;94171
sexybeast;97468977,59;849116,24
shadowofthevampire;97468977,59;849116,24
sherlockholmes;209028679;1658957
shrek;97468977,59;849116,24
sideways;71500193;352217
silverliningsplaybook;132092958;650704
singleman;9152334;72637
sixsessions;6002451;40833
slumdogmillionaire;141313054;739858
snowwhiteandthehuntsman;155136755;1583028
socialnetwork;96962694;629627
somethingsgottagive;124590960;1153620
sonofthebride;97468977,59;849116,24
sophiescholl;97468977,59;849116,24
spacecowboys;97468977,59;849116,24
spiderman;403706375;3738021
spiderman2;373377893;2705636
squidandthewhale;2787794;59314
startrek11;257730019;1753265
startrek12;228778661;1906488
stillalice;13072610;266787
superman06;200081192;1563134
syriana;50824620;341104
talktoher;9198380;56087
tangerines;7528;1254
tasteofothers;97468977,59;849116,24
tempest10;237254;8473
thelaststation;97468977,59;849116,24
themaster;16258724;105576
theoryofeverything;35753877;268826
therewillbeblood;40222514;314238
thirteen;4592413;42919
timbuktu;1043803;13382
timemachine;56712457;736525
town10;92186262;823091
toystory3;410171027;4507373
traffic;97468977,59;849116,24
trainingday;97468977,59;849116,24
transamerica;9015303;49534
transformers06;319071806;2473424
transformers3;352390543;3293369
treeoflife;13228329;104986
tropicthunder;110461307;1187755
troy;133259341;1359789
truegrit2010;171050328;1336330
tsotsi;1344021;38400
twelveyearsaslave;97468977,59;849116,24
twodaysonenight;97468977,59;849116,24
twotowers;339785181;1375648
u-571;97468977,59;849116,24
unbroken;115637895;1482537
unfaithful;52756933;538336
united93;31483450;449763
unstoppable;81537988;728017
untitledsnowwhite;64935167;463822
up;290866563;2851632
upintheair;83823381;665264
vatel;97468977,59;849116,24
venus;5763;5763
veradrake;788198;32841
verylongengagement;6200009;63265
vickycristinabarcelona;23216709;122839
visitor08;9427089;51797
volver;10366281;105778
walktheline;119514920;742328
wall-e;223799741;1184125
waltzwithbashir;97468977,59;849116,24
wanted;134327125;1599132
warhorse;79120998;1163544
waroftheworlds;234280354;1593743
warrior10;13657115;243877
warwitch;97468977,59;849116,24
water06;3209671;26972
wayback;2658943;94962
wemadonna;583455;5953
whalerider;20772796;121478
whiplash;97468977,59;849116,24
whiteribbon;97468977,59;849116,24
wiigapatow;169106725;1207905
wildtales;97468977,59;849116,24
wintersbone;6531503;20800
wolfman;61979680;1264891
wolfofwallstreet;116900694;1169006
wonderboys;97468977,59;849116,24
wrestler;26232937;184738
xmen2014;233904517;1758680
youcancountonme;97468977,59;849116,24
youngvictoria;11001272;82716
zelary;97468977,59;849116,24
zusandzo;97468977,59;849116,24
